"","GNPSLinkout_Network","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","componentindex","number_of_spectra","parent_mass","precursor_charge","precursor_mass","sum(precursor_intensity)","V1","V2","V3","sum.precursor_intensity.","Chemical_family","Name","Notes","CF_class","CF_Dparent","CF_NrNodes","CF_subclass","CF_superclass","Compound_Name","id","stat.x","index.x","p.value_gut","groups.x","stat.y","index.y","p.value_diet","groups.y","stat.x","index.x","p.value_kt","groups.x","stat.y","index.y","p.value_host","groups.y","V1","V2","V3"
"10470_471.306_6.511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10470_471.306_6.511",0.989566790610591,1,0.00294,"s.Foregut",0.507649004108729,4,1,"s.Carnivores,s.Herbivores",0.978917865977286,3,0.00319,"s.Cetartiodactyla",0.85440383399131,220,1,"s.Goat,s.Sheep","10470","471.306","6.511"
"1055_479.298_5.575","Connected","N/A","N/A",5.5746,5.5746,0,"N/A",0.019110091,34,82,34,479.2982,1,479.2982,0.019110091,1055,479.298,5.575,0.019110091,"Triterpenoids","Unclassified-3","","no_matches","no_matches",87,"no_matches","no_matches",NA,"1055_479.298_5.575",0.879049072991533,4,0.00294,"s.Foregut,s.Hindgut",0.824621125123532,2,0.00298,"s.Herbivores",0.97182531580755,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.793732758664517,182,0.00319,"s.Donkey,s.Goat","1055","479.298","5.575"
"10564_374.304_5.954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10564_374.304_5.954",0.495594627783352,3,1,"s.Simplegut",0.998993714215509,1,0.00298,"s.Carnivores",0.692056238913587,2,0.37323,"s.Carnivora",0.79556786161051,244,1,"s.Hyena,s.Tiger","10564","374.304","5.954"
"10771_471.307_6.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10771_471.307_6.41",0.994575839554507,1,0.00294,"s.Foregut",0.562479207311476,2,1,"s.Herbivores",0.99142608960187,3,0.00319,"s.Cetartiodactyla",0.968349084818834,220,0.00957,"s.Goat,s.Sheep","10771","471.307","6.41"
"1133_428.346_4.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1133_428.346_4.36",0.707106781186548,2,0.97314,"s.Hindgut",0.616441400296898,2,0.3278,"s.Herbivores",0.727256858045296,4,0.15631,"s.Perissodactyla",0.970036275837657,195,0.00319,"s.Donkey,s.Zebra","1133","428.346","4.36"
"1148_301.139_2.202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1148_301.139_2.202",0.941468871691272,4,0.00294,"s.Foregut,s.Hindgut",0.883176086632785,2,0.00298,"s.Herbivores",0.941468871691272,19,0.00319,"s.Afrotheria,s.Cetartiodactyla,s.Perissodactyla",0.7240134340237,222,0.00319,"s.Goat,s.Zebra","1148","301.139","2.202"
"1170_424.28_6.779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1170_424.28_6.779",0.801314709186032,6,1,"s.Hindgut,s.Simplegut",0.832575412909736,6,0.00596,"s.Herbivores,s.Omnivores",0.947131893417919,21,0.00319,"s.Afrotheria,s.Perissodactyla,s.Primates",0.641695875647289,164,1,"s.Chimp,s.Zebra","1170","424.28","6.779"
"11711_312.2_1.719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11711_312.2_1.719",0.710977571847876,5,1,"s.Foregut,s.Simplegut",0.824854953961461,1,0.00298,"s.Carnivores",0.890300395982249,2,0.00319,"s.Carnivora",0.654400274179218,278,1,"s.Leopard,s.Tiger","11711","312.2","1.719"
"11712_399.324_7.145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11712_399.324_7.145",0.408792609781515,5,1,"s.Foregut,s.Simplegut",0.826688329376907,1,0.00298,"s.Carnivores",0.557072335970068,2,1,"s.Carnivora",0.80811373296849,263,1,"s.Jungle_cat,s.Tiger","11712","399.324","7.145"
"11777_338.194_2.771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11777_338.194_2.771",0.324442842261525,3,1,"s.Simplegut",0.679366220486757,1,0.00298,"s.Carnivores",0.471404520791032,2,1,"s.Carnivora",0.992320197606088,278,0.06061,"s.Leopard,s.Tiger","11777","338.194","2.771"
